DataName,PA,I.S PA
210930001,,
210930002,279207,3341141
210930003,1075247,3126031
210930004,2356664,3087501
210930005,4024578,3281911
210930006,8799645,4152510
210930007,11563362,3544168
210930008,15537569,3859469
210930009,,
210930010,5988434,3377279
210930011,5987825,3313889
210930012,6134777,3663762
210930013,6447624,3423174
210930014,6406542,3505101
210930015,6475434,3466414
210930016,6459849,3501711
210930017,6328649,3769624
210930018,6649421,3537028
210930019,26610,32002
210930020,5692914,3409907
210930021,6166730,3471083
210930022,5985501,3682097
210930023,6230358,3730749
210930024,6290584,3703038
210930025,6271125,3797797
210930026,6440878,3595311
210930027,6417751,3590038
210930028,6173159,3887497
210930029,6467241,3616261
