"Row.names","Numerator","V1","ratio","L.peak","P.peak","name"
"L1.S11",2130.79010392787,14766.3458666556,0.144300433104407,"L1","S11","210526013"
"L2.S11",3558.93820518675,18947.8352647684,0.187828221823537,"L2","S11","210526013"
"L3.S11",6323.29975628693,22255.3098079871,0.284125442909699,"L3","S11","210526013"
"L4.S11",7247.23747786756,21056.469625647,0.344181033511921,"L4","S11","210526013"
"L5.S11",1491.3660324698,15475.4283001505,0.0963699358456721,"L5","S11","210526013"
"L6.S11",2641.67080588122,19985.9617073898,0.132176316784619,"L6","S11","210526013"
"L7.S11",11489.0627412524,22425.1230819149,0.512329974702255,"L7","S11","210526013"
"L8.S11",1710.86143519449,16042.5172486741,0.106645447760755,"L8","S11","210526013"
"L9.S11",10651.694503138,21795.3405415231,0.488714295738809,"L9","S11","210526013"
